#S 59  ascan  samz -2.1 -1.6  50 0.1
#L samz    Epoch  Seconds  I3  gdoor  xflash  hep  ironKa  I1  I2
-2.0998967  19359 0.1 272 125 0 116 0 13350 275
-2.0898725  19359 0.1 273 126 0 117 0 13415 277
-2.0798483  19359 0.1 274 126 0 117 0 13422 277
-2.0701698  19360 0.1 274 125 0 117 0 13435 278
-2.0601456  19360 0.1 271 126 0 116 0 13384 276
-2.0501214  19360 0.1 272 125 0 117 0 13386 276
-2.0400972  19360 0.1 280 129 0 120 0 13782 285
-2.030073  19360 0.1 281 130 0 120 0 13830 286
-2.0200488  19360 0.1 271 125 0 116 0 13372 276
-2.0100246  19361 0.1 272 125 0 116 0 13362 277
-2.0000004  19361 0.1 273 125 0 117 0 13357 277
-1.9899762  19361 0.1 272 125 0 116 0 13392 277
-1.979952  19361 0.1 270 125 0 117 0 13396 276
-1.9699278  19361 0.1 268 126 0 117 0 13400 276
-1.9599036  19361 0.1 263 125 0 117 0 13416 278
-1.9498794  19362 0.1 257 125 0 117 0 13438 278
-1.9398552  19362 0.1 255 129 0 121 0 13847 286
-1.929831  19362 0.1 246 129 0 120 0 13847 286
-1.9201525  19362 0.1 236 129 0 120 0 13817 286
-1.9101283  19362 0.1 226 130 0 121 0 13853 287
-1.9001041  19363 0.1 216 130 0 121 0 13863 286
-1.8900799  19363 0.1 207 130 0 121 0 13860 287
-1.8800557  19363 0.1 191 125 0 117 0 13389 277
-1.8700315  19363 0.1 182 125 0 116 0 13409 278
-1.8600073  19363 0.1 173 126 0 117 0 13420 277
-1.8499831  19363 0.1 165 126 0 117 0 13443 278
-1.8399589  19364 0.1 161 130 0 120 0 13838 286
-1.8299347  19364 0.1 151 129 0 120 0 13770 285
-1.8199105  19364 0.1 139 125 0 116 0 13305 275
-1.8098863  19364 0.1 143 134 0 125 0 14354 297
-1.7998621  19364 0.1 131 125 0 117 0 13383 277
-1.7898379  19364 0.1 136 129 0 120 0 13861 287
-1.7801594  19365 0.1 139 129 0 120 0 13849 287
-1.7701352  19365 0.1 133 121 0 112 0 12915 266
-1.760111  19365 0.1 141 120 0 112 0 12909 267
-1.7500868  19365 0.1 149 120 0 112 0 12908 267
-1.7400626  19365 0.1 155 120 0 113 0 12910 266
-1.7300384  19365 0.1 162 121 0 113 0 12899 267
-1.7200142  19366 0.1 177 126 0 117 0 13383 277
-1.70999  19366 0.1 180 120 0 113 0 12937 268
-1.6999658  19366 0.1 196 125 0 117 0 13390 278
-1.6899416  19366 0.1 196 121 0 113 0 12905 267
-1.6799174  19366 0.1 204 121 0 112 0 12930 268
-1.6698932  19366 0.1 219 125 0 117 0 13383 276
-1.659869  19367 0.1 221 121 0 112 0 12932 267
-1.6498448  19367 0.1 239 125 0 117 0 13389 277
-1.6401663  19367 0.1 246 125 0 117 0 13397 276
-1.6301421  19367 0.1 257 125 0 117 0 13412 278
-1.6201179  19367 0.1 254 120 0 113 0 12920 268
-1.6100937  19367 0.1 267 125 0 117 0 13402 277
-1.6000695  19368 0.1 260 121 0 113 0 12947 268
